query_keyid,query_start,neighbor_rank,neighbor_keyid,neighbor_start,sim_score
1,0,1,35,0,0.9976198673248291
1,0,2,2155,1320,0.9972665309906006
1,60,1,3057,1080,0.9966495633125305
1,60,2,3058,1080,0.9966495633125305
1002,0,1,999,120,0.9994124174118042
1002,0,2,7417,0,0.9971502423286438
1003,0,1,1003,0,0.9999998211860657
1003,0,2,857,60,0.9998815655708313
1003,60,1,857,60,0.9999511241912842
1003,60,2,850,0,0.9998892545700073
1003,120,1,6818,1020,0.9997395277023315
1003,120,2,3085,360,0.9997371435165405
1004,0,1,1003,0,0.9999998807907104
1004,0,2,857,60,0.9998815059661865
1007,0,1,941,0,0.9998066425323486
1007,0,2,996,0,0.9997655153274536
1010,0,1,921,60,0.9997667670249939
1010,0,2,891,0,0.9997406601905823
1013,0,1,900,0,0.9948537945747375
1013,0,2,2857,1500,0.9920032620429993
1016,0,1,1016,0,0.9999995827674866
1016,0,2,7312,0,0.9808741807937622
1016,60,1,2700,60,0.9999997615814209
1016,60,2,2872,0,0.9921830296516418
1016,120,1,1016,120,1.0
1016,120,2,2020,2100,0.9939026236534119
1021,0,1,1021,0,0.9999997615814209
1021,0,2,2706,0,0.9999997019767761
1021,60,1,1021,60,0.9999997615814209
1021,60,2,2706,120,0.9999459981918335
1021,120,1,1021,120,0.9999998211860657
1021,120,2,2708,0,0.9999972581863403
1025,0,1,2709,0,1.0
1025,0,2,2710,0,0.9999999403953552
1025,60,1,1025,60,0.9999999403953552
1025,60,2,2710,60,0.9999998211860657
1025,120,1,1025,120,1.0
1025,120,2,2710,120,0.9999999403953552
1027,0,1,2709,120,0.9998955726623535
1027,0,2,2710,120,0.9998955130577087
1028,0,1,2711,0,1.0000001192092896
1028,0,2,1052,0,0.9988868832588196
1028,60,1,2711,60,1.0
1028,60,2,1030,0,0.9993992447853088
103,0,1,6870,180,0.998954713344574
103,0,2,1680,1380,0.9989355802536011
1030,0,1,1028,60,0.9993992447853088
1030,0,2,2711,60,0.9993991851806641
1031,0,1,1031,0,1.0000001192092896
1031,0,2,7465,0,0.9977318048477173
1031,60,1,1031,60,0.9999998211860657
1031,60,2,1034,0,0.9999639987945557
1034,0,1,1031,60,0.9999639987945557
1034,0,2,2717,60,0.9999638199806213
1035,0,1,2720,0,1.0
1035,0,2,1037,0,0.999470055103302
1035,60,1,1035,60,1.0000004768371582
1035,60,2,1037,60,0.9995869994163513
1035,120,1,2720,120,0.9999999403953552
1035,120,2,2934,480,0.9997907876968384
1037,0,1,2720,0,0.9994701743125916
1037,0,2,1035,0,0.999470055103302
1037,60,1,1035,60,0.9995869994163513
1037,60,2,2720,60,0.9995869994163513
1039,0,1,1039,0,0.9999996423721313
1039,0,2,1312,300,0.9683155417442322
1039,60,1,2723,60,0.9999998807907104
1039,60,2,2725,60,0.999255895614624
1039,120,1,1039,120,1.0000001192092896
1039,120,2,2725,0,0.9999321103096008
1039,180,1,1039,180,0.9999996423721313
1039,180,2,1042,0,0.9999995827674866
1042,0,1,2723,180,0.9999995827674866
1042,0,2,1042,0,0.9999993443489075
1043,0,1,2727,0,1.0000001192092896
1043,0,2,2728,0,1.0000001192092896
1043,60,1,2728,60,0.9999996423721313
1043,60,2,2727,60,0.9999996423721313
1047,0,1,2729,0,1.0000003576278687
