query_keyid,query_start,neighbor_rank,neighbor_keyid,neighbor_start,sim_score
1,0,1,68,40,0.9978397488594055
1,0,2,2670,1680,0.9971275925636292
1,40,1,1,80,0.9998912215232849
1,40,2,1,120,0.9998300075531006
1,80,1,4,0,0.9999104738235474
1,80,2,1,40,0.9998912215232849
1,120,1,1,80,0.999833881855011
1,120,2,1,40,0.9998300075531006
10,0,1,70,0,0.9988128542900085
10,0,2,1939,80,0.9986266493797302
100,0,1,101,0,0.9996681809425354
100,0,2,3739,0,0.9954437017440796
1000,0,1,999,0,0.9999998211860657
1000,0,2,957,80,0.9984408020973206
1001,0,1,874,0,0.9961956739425659
1001,0,2,931,0,0.9960631728172302
1002,0,1,999,120,0.9989650249481201
1002,0,2,7417,40,0.9985920786857605
1002,40,1,999,160,0.9997281432151794
1002,40,2,7599,0,0.993747889995575
1003,0,1,1003,0,0.9999998211860657
1003,0,2,1003,40,0.9999356865882874
1003,40,1,1003,40,0.9999998211860657
1003,40,2,1004,0,0.9999357461929321
1003,80,1,810,0,0.9998739361763
1003,80,2,860,0,0.9998623132705688
1003,120,1,785,160,0.999932587146759
1003,120,2,788,0,0.9999250173568726
1003,160,1,7091,0,0.9998269081115723
1003,160,2,7369,0,0.999786913394928
1003,200,1,1006,0,0.9999145865440369
1003,200,2,1171,1440,0.9996271729469299
1004,0,1,1003,0,0.9999998211860657
1004,0,2,1003,40,0.9999357461929321
1004,40,1,1004,40,0.9999998211860657
1004,40,2,1004,0,0.9999356865882874
1005,0,1,787,0,0.999699056148529
1005,0,2,800,0,0.9995583295822144
1006,0,1,1003,200,0.9999145865440369
1006,0,2,7013,40,0.9995607137680054
1007,0,1,1008,0,1.0000001192092896
1007,0,2,824,80,0.9999641180038452
1007,40,1,891,0,0.9998731017112732
1007,40,2,939,360,0.9998456835746765
1008,0,1,1008,0,1.0000001192092896
1008,0,2,824,80,0.9999640583992004
1009,0,1,2417,1040,0.9983320236206055
1009,0,2,2417,1520,0.9983013272285461
101,0,1,100,0,0.9996681809425354
101,0,2,63,0,0.9956546425819397
1010,0,1,906,80,0.9998445510864258
1010,0,2,830,0,0.9998351335525513
1010,40,1,1495,480,0.9996676445007324
1010,40,2,6251,1160,0.9996288418769836
1011,0,1,867,0,0.9995812177658081
1011,0,2,843,0,0.9995700716972351
1012,0,1,887,0,0.999546229839325
1012,0,2,1865,0,0.9994426369667053
1013,0,1,828,0,0.9991763234138489
1013,0,2,797,0,0.995880663394928
1013,40,1,951,0,0.9959573149681091
1013,40,2,952,0,0.9959572553634644
1014,0,1,796,0,0.9954609870910645
1014,0,2,879,0,0.9953668117523193
1015,0,1,854,0,0.9902897477149963
1015,0,2,3854,760,0.9895920157432556
1016,0,1,1016,0,0.9999998807907104
1016,0,2,2700,0,0.9999998807907104
1016,40,1,1016,40,1.000000238418579
1016,40,2,2702,0,0.9983102679252625
1016,80,1,2700,80,1.0000005960464478
1016,80,2,7017,120,0.9925874471664429
1016,120,1,1016,120,0.9999998211860657
1016,120,2,1019,0,0.9984182715415955
1016,160,1,1016,160,1.0000003576278687
1016,160,2,2705,0,0.9997295141220093
1017,0,1,1016,0,0.9999999403953552
1017,0,2,2700,0,0.9999999403953552
1018,0,1,2703,0,0.9999436736106873
1018,0,2,2702,0,0.9927051067352295
1019,0,1,1016,120,0.9984182715415955
1019,0,2,2700,120,0.9984182715415955
102,0,1,99,0,0.9990333318710327
102,0,2,98,0,0.9970465898513794
1020,0,1,2705,0,0.9983635544776917
1020,0,2,2700,160,0.9969847798347473
1021,0,1,1021,0,1.0
1021,0,2,2707,0,0.9999999403953552
1021,40,1,2706,40,0.9999998211860657
1021,40,2,1021,40,0.9999998211860657
1021,80,1,1021,80,0.9999992847442627
1021,80,2,1023,0,0.9999979734420776
1021,120,1,2706,120,0.9999999403953552
